Order,Family,sp_count,obs_count,bio_count,fam
Accipitriformes,"Accipitridae (Hawks, Eagles, Kites, Harriers, and Old World Vultures)",117,415,35,Accipitridae
Alismatales,Araceae (Arum/Aroids),23,64,13,Araceae
Alismatales,Potamogetonaceae (Pondweeds),20,41,4,Potamogetonaceae
Anseriformes,Anatidae (Ducks),120,635,38,Anatidae
Anura,Bufonidae (True Toads),26,48,16,Bufonidae
Anura,Hylidae (Tree Frogs and Allies),47,60,11,Hylidae
Anura,Limnodynastidae (Australian Ground Frogs),18,18,1,Limnodynastidae
Anura,Myobatrachidae (Australian Water Frogs),36,36,1,Myobatrachidae
Anura,Ranidae (True Frogs),28,53,12,Ranidae
Apiales,"Apiaceae (Umbellifers; Celeries, Carrots, and Parsleys)",133,321,16,Apiaceae
Apiales,Araliaceae (No common name),24,34,9,Araliaceae
Apiales,Pittosporaceae (Cheesewoods),11,13,4,Pittosporaceae
Apodiformes,Apodidae (Swifts),17,33,12,Apodidae
Apodiformes,Trochilidae (Hummingbirds),74,102,11,Trochilidae
Aquifoliales,Aquifoliaceae (Hollies),11,19,4,Aquifoliaceae
Araneae,Araneidae (Orb-weaver Spiders),50,104,13,Araneidae
Araneae,Clubionidae (Sac Spiders),10,11,2,Clubionidae
Araneae,Dictynidae (No common name),10,11,2,Dictynidae
Araneae,Linyphiidae (Sheet-weaving Spiders),103,150,7,Linyphiidae
Araneae,Lycosidae (Wolf Spiders),36,52,5,Lycosidae
Araneae,Philodromidae (Running Crab Spiders),11,17,3,Philodromidae
Araneae,Salticidae (Jumping Spiders),47,82,12,Salticidae
Araneae,Tetragnathidae (Long-jawed Orb-weaving Spiders),14,30,4,Tetragnathidae
Araneae,Theridiidae (Tangle-web Spiders),39,68,11,Theridiidae
Araneae,Thomisidae (Crab Spiders),22,37,6,Thomisidae
Arecales,Arecaceae (Palm Trees),18,29,9,Arecaceae
Artiodactyla,Bovidae (Cows),42,76,12,Bovidae
Artiodactyla,Cervidae (Deer),16,51,15,Cervidae
Asparagales,Amaryllidaceae (No common name),42,107,12,Amaryllidaceae
Asparagales,Asparagaceae (Asparagus),80,188,17,Asparagaceae
Asparagales,Asphodelaceae (No common name),24,34,7,Asphodelaceae
Asparagales,Iridaceae (Irises),33,60,11,Iridaceae
Asparagales,Orchidaceae (Orchids),91,222,14,Orchidaceae
Asterales,Asteraceae (Asters),622,1647,27,Asteraceae
Asterales,Campanulaceae (Bellflowers),59,125,12,Campanulaceae
Asterales,Goodeniaceae (Fanflowers),15,15,1,Goodeniaceae
Boraginales,Boraginaceae (Borages or Forget-me-nots),64,168,15,Boraginaceae
Brassicales,"Brassicaceae (Mustards, Crucifers, Cabbages)",167,459,19,Brassicaceae
Bucerotiformes,Bucerotidae (Hornbills),16,24,7,Bucerotidae
Carnivora,Canidae (Wolves),12,41,14,Canidae
Carnivora,"Mustelidae (Weasels, Badgers, Otters, Ferrets, Martens, Minks, and Wolverines)",12,35,8,Mustelidae
Carnivora,Phocidae (Earless Seals),10,19,8,Phocidae
Caryophyllales,Amaranthaceae (Amaranths),136,244,19,Amaranthaceae
Caryophyllales,Caryophyllaceae (Pinks or Carnations),128,356,18,Caryophyllaceae
Caryophyllales,Plumbaginaceae (Leadworts or Plumbagos),14,27,8,Plumbaginaceae
